German,English
Hallo,Hello
Guten Morgen,Good morning
Guten Abend,Good evening
Auf Wiedersehen,Goodbye
Danke,Thank you
Entschuldigung,Excuse me / Sorry
Es tut mir leid,I’m sorry
Ja,Yes
Nein,No
Bitte,Please
Gern geschehen,You’re welcome
Mahlzeit,Bon appétit / Enjoy your meal
Prost,Cheers
Viel Glück,Good luck
Herzlichen Glückwunsch,Congratulations
Wie geht's?,How are you?
Alles gut?,Is everything okay?
Kein Problem,No problem
Ich liebe dich,I love you
Schön,Beautiful / Nice
Cool,Cool / Awesome
Interessant,Interesting
Lecker,Delicious
Freund,Friend
Familie,Family
Lehrer,Teacher
Schüler,Student
Schule,School
Arbeit,Work / Job
Firma,Company
Geld,Money
Zeit,Time
Telefon,Phone
Adresse,Address
Krankenhaus,Hospital
Park,Park
Geschäft,Shop / Store
Bank,Bank
Hund,Dog
Katze,Cat
Vogel,Bird
Fisch,Fish
Pferd,Horse
Schwein,Pig
Kuh,Cow
Hase,Rabbit
Schmetterling,Butterfly
Maus,Mouse
Löwe,Lion
Tiger,Tiger
Bär,Bear
Elefant,Elephant
Affe,Monkey
Esel,Donkey
Ziege,Goat
Kamel,Camel
Schlange,Snake
Schildkröte,Turtle
Biene,Bee
Wespe,Wasp
Spinne,Spider
Frosch,Frog
Wal,Whale
Delfin,Dolphin
Pinguin,Penguin
Krokodil,Crocodile
Ameise,Ant
Pferd,Horse
Enten,Duck
Fuchs,Fox
Ratte,Rat
Lachs,Salmon
Igel,Hedgehog
Huhn,Chicken
Taube,Dove
Adler,Eagle
Fischotter,Otter
Kranich,Crane
Adler,Eagle
Kolibri,Hummingbird
Rind,Cattle
Wildschwein,Wild Boar
Gans,Goose
Ente,Duck
Känguru,Kangaroo
Lama,Llama
Koala,Koala
Walross,Walrus
Schaf,Sheep
Elch,Moose
Reh,Deer
Tiger,Tiger
Gepard,Cheetah
Fliegen,To fly
Schwimmen,To swim
Laufen,To run
Singen,To sing
Tanzen,To dance
Essen,To eat
Trinken,To drink
Schlafen,To sleep
Lernen,To learn
Arbeiten,To work
Fahren,To drive
Reden,To speak
Kaufen,To buy
Verkaufen,To sell
Machen,To make
Lieben,To love
Warten,To wait
Helfen,To help
Verstehen,To understand
Hören,To hear
Sehen,To see
Sprechen,To speak
Lachen,To laugh
Weinen,To cry
Schauen,To look
Gehen,To go
Stoppen,To stop
Beginnen,To begin
Beenden,To finish
Anfangen,To start
